adverb tid;adverbs of time
i går;yesterday
i dag;today
i morgen;tomorrow
nå;now
da;then
senere;later
i kveld;tonight
akkurat nå;right now
går kveld;last night
i morges;this morning
neste uke;next week
allerede;already
nylig;recently
i det siste;lately
snart;soon
umiddelbart;immediately
fortsatt;still
ennå;yet
siden;ago
adverb sted;adverbs of place
her;here
der;there
der borte;over there
overalt;everywhere
hvor som helst;anywhere
ingensteds;nowhere
hjem;home
borte;away
ute;out
adverb av måten;adverbs of manner
veldig;very
veldig/svært/meget;quite
pen;pretty
virkelig;really
rask;fast
godt;well
hard;hard
raskt;quickly
sakte;slowly
forsiktig;carefully
knapt;hardly
såvidt;barely
for det meste;mostly
nesten;almost
absolutt;absolutely
sammen;together
alene;alone
tidsadverb;adverbs of frequency
alltid;always
ofte;frequently
vanligvis;usually
noen ganger;sometimes
en gang i blandt;occasionally
sjelden;seldom
sjelden;rarely
aldri;never
